"date_sk","date","year","trimestre","month","day","version","date_from","date_to"
52,"1996-08-20 00:00:00",1996,3,8,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
53,"1996-08-21 00:00:00",1996,3,8,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
54,"1996-08-22 00:00:00",1996,3,8,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
55,"1996-08-23 00:00:00",1996,3,8,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
56,"1996-08-24 00:00:00",1996,3,8,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
57,"1996-08-25 00:00:00",1996,3,8,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
58,"1996-08-26 00:00:00",1996,3,8,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
59,"1996-08-27 00:00:00",1996,3,8,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
60,"1996-08-28 00:00:00",1996,3,8,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
61,"1996-08-29 00:00:00",1996,3,8,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
62,"1996-08-30 00:00:00",1996,3,8,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
63,"1996-08-31 00:00:00",1996,3,8,31,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
64,"1996-09-01 00:00:00",1996,3,9,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
65,"1996-09-02 00:00:00",1996,3,9,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
66,"1996-09-03 00:00:00",1996,3,9,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
67,"1996-09-04 00:00:00",1996,3,9,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
68,"1996-09-05 00:00:00",1996,3,9,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
69,"1996-09-06 00:00:00",1996,3,9,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
70,"1996-09-07 00:00:00",1996,3,9,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
71,"1996-09-08 00:00:00",1996,3,9,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
72,"1996-09-09 00:00:00",1996,3,9,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
73,"1996-09-10 00:00:00",1996,3,9,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
74,"1996-09-11 00:00:00",1996,3,9,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
75,"1996-09-12 00:00:00",1996,3,9,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
76,"1996-09-13 00:00:00",1996,3,9,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
77,"1996-09-14 00:00:00",1996,3,9,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
78,"1996-09-15 00:00:00",1996,3,9,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
79,"1996-09-16 00:00:00",1996,3,9,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
80,"1996-09-17 00:00:00",1996,3,9,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
81,"1996-09-18 00:00:00",1996,3,9,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
82,"1996-09-19 00:00:00",1996,3,9,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
83,"1996-09-20 00:00:00",1996,3,9,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
84,"1996-09-21 00:00:00",1996,3,9,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
85,"1996-09-22 00:00:00",1996,3,9,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
86,"1996-09-23 00:00:00",1996,3,9,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
87,"1996-09-24 00:00:00",1996,3,9,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
88,"1996-09-25 00:00:00",1996,3,9,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
89,"1996-09-26 00:00:00",1996,3,9,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
90,"1996-09-27 00:00:00",1996,3,9,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
91,"1996-09-28 00:00:00",1996,3,9,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
92,"1996-09-29 00:00:00",1996,3,9,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
93,"1996-09-30 00:00:00",1996,3,9,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
94,"1996-10-01 00:00:00",1996,4,10,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
95,"1996-10-02 00:00:00",1996,4,10,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
96,"1996-10-03 00:00:00",1996,4,10,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
97,"1996-10-04 00:00:00",1996,4,10,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
98,"1996-10-05 00:00:00",1996,4,10,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
99,"1996-10-06 00:00:00",1996,4,10,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
100,"1996-10-07 00:00:00",1996,4,10,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
101,"1996-10-08 00:00:00",1996,4,10,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
102,"1996-10-09 00:00:00",1996,4,10,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
103,"1996-10-10 00:00:00",1996,4,10,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
104,"1996-10-11 00:00:00",1996,4,10,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
105,"1996-10-12 00:00:00",1996,4,10,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
106,"1996-10-13 00:00:00",1996,4,10,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
107,"1996-10-14 00:00:00",1996,4,10,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
108,"1996-10-15 00:00:00",1996,4,10,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
109,"1996-10-16 00:00:00",1996,4,10,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
